POINT;NB PAS (H);TEMPS (s);<VVX)> ;<VVY)>;<VVZ)> 
181;181;0.18100000E-11;-0.61992259E+06;-0.48290668E+06;0.12181542E+06
182;182;0.18200000E-11;-0.60930038E+06;-0.47452716E+06;0.14359476E+06
183;183;0.18300000E-11;-0.59751387E+06;-0.46477663E+06;0.16365857E+06
184;184;0.18400000E-11;-0.58470466E+06;-0.45379331E+06;0.18187982E+06
185;185;0.18500000E-11;-0.57104119E+06;-0.44173299E+06;0.19813924E+06
186;186;0.18600000E-11;-0.55671318E+06;-0.42876640E+06;0.21232764E+06
187;187;0.18700000E-11;-0.54192520E+06;-0.41507623E+06;0.22434816E+06
188;188;0.18800000E-11;-0.52688964E+06;-0.40085397E+06;0.23411852E+06
189;189;0.18900000E-11;-0.51181932E+06;-0.38629646E+06;0.24157315E+06
190;190;0.19000000E-11;-0.49692018E+06;-0.37160231E+06;0.24666471E+06
191;191;0.19100000E-11;-0.48238453E+06;-0.35696822E+06;0.24936494E+06
192;192;0.19200000E-11;-0.46838510E+06;-0.34258551E+06;0.24966449E+06
193;193;0.19300000E-11;-0.45506998E+06;-0.32863702E+06;0.24757182E+06
194;194;0.19400000E-11;-0.44255870E+06;-0.31529463E+06;0.24311157E+06
195;195;0.19500000E-11;-0.43093955E+06;-0.30271741E+06;0.23632266E+06
196;196;0.19600000E-11;-0.42026834E+06;-0.29105048E+06;0.22725688E+06
197;197;0.19700000E-11;-0.41056872E+06;-0.28042443E+06;0.21597786E+06
198;198;0.19800000E-11;-0.40183394E+06;-0.27095496E+06;0.20256070E+06
199;199;0.19900000E-11;-0.39402982E+06;-0.26274273E+06;0.18709182E+06
200;200;0.20000000E-11;-0.38709844E+06;-0.25587317E+06;0.16966898E+06
